dataset_id,dataset_name,method,max_T_AMI,frac_sig_K_AMI,auc_above_q95_AMI,gap_at_K_BH_AMI,V_at_K_BH_AMI,K_BH_AMI
MNIST,MNIST,t-SNE,0.9874447526608788,1.0,35.35850998971862,0.9005147218410241,0.6565554468213537,40
MNIST,MNIST,UMAP,0.9981725150604344,1.0,35.908895510239205,0.9069581613383925,0.6582841707794725,40
UCI HAR,UCI HAR,t-SNE,1.0,0.7,16.5827883465735,0.8945330063804885,0.5311450966379608,20
UCI HAR,UCI HAR,UMAP,1.0,0.7,16.837255802403284,0.8983388818993656,0.5420846073440443,20
Olivetti Faces,Olivetti Faces,t-SNE,0.9708250520576728,1.0,31.632955356806065,0.8512135802624289,0.6656978156934715,40
Olivetti Faces,Olivetti Faces,UMAP,0.995878260685242,1.0,33.762430545390714,0.8785111513422357,0.6475224193817714,40
CIFAR-10,CIFAR-10,t-SNE,0.9888484992361528,0.9,32.64513837912733,0.8120277369515356,0.4335872145946346,40
CIFAR-10,CIFAR-10,UMAP,1.0,0.9,33.8538839709544,0.8475379546682545,0.4462491438077823,40
20 Newsgroups,20 Newsgroups,t-SNE,0.9665469452448788,1.0,24.530634666365252,0.8715292327990775,0.2661753716641174,30
20 Newsgroups,20 Newsgroups,UMAP,0.9491361870657228,1.0,24.525776506968185,0.8665406097955509,0.2602715934038454,30
AG News,AG News,t-SNE,0.963450408880446,0.9,15.025837279744344,0.8208634052877601,0.243308736523565,20
AG News,AG News,UMAP,0.9398636617038884,0.9,15.225549718310713,0.8491050535057669,0.239729576821193,20
